TC;fγf;fγi;fα'i;fα'fr;Cγ;Cα'
181.5;0.1228288018247833;0.1228288018247833;0.8771711981752167;0;2.162433953640143;0.0018615353349483764
182;0.12344385312474418;0.12344385312474418;0.8765561468752558;0;2.151006155821966;0.0018391144033282365
182.5;0.12406227717003707;0.12406227717003707;0.875937722829963;0;2.1396348618638963;0.0018170116601822297
183;0.12468409286362919;0.12468409286362919;0.8753159071363708;0;2.1283198615372796;0.0017952220642555856
183.5;0.12530931920768928;0.12530931920768928;0.8746906807923107;0;2.117060943953257;0.0017737406590684563
184;0.1259379753042205;0.1259379753042205;0.8740620246957795;0;2.1058578976022146;0.0017525625714890944
184.5;0.12657008035569556;0.12657008035569556;0.8734299196443045;0;2.094710510392286;0.001731683010329524
185;0.12720565366569417;0.12720565366569417;0.8727943463343059;0;2.0836185696869363;0.001711097264961414
185.5;0.12784471463954222;0.12784471463954222;0.8721552853604577;0;2.0725818623416585;0.0016908007039537177
186;0.12848728278495367;0.12848728278495367;0.8715127172150463;0;2.061600174739769;0.001670788773731304
186.5;0.12913337771267436;0.12913337771267436;0.8708666222873256;0;2.050673292827347;0.0016510569972536535
187;0.12978301913712842;0.12978301913712842;0.8702169808628716;0;2.039801002147328;0.0016316009727146193
187.5;0.13043622687706663;0.13043622687706663;0.8695637731229333;0;2.028983087872755;0.0016124163722626228
188;0.13109302085621727;0.13109302085621727;0.8689069791437827;0;2.018219334839234;0.001593498940740335
188.5;0.13175342110393956;0.13175342110393956;0.8682465788960605;0;2.00750952757657;0.001574844494444655
189;0.13241744775587888;0.13241744775587888;0.8675825522441212;0;1.9968534503396438;0.0015564489199066766
189.5;0.13308512105462508;0.13308512105462508;0.8669148789453749;0;1.9862508871385063;0.001538308172690107
190;0.13375646135037278;0.13375646135037278;0.8662435386496272;0;1.9757016217677337;0.0015204182762102265
190.5;0.13443148910158448;0.13443148910158448;0.8655685108984155;0;1.9652054378350425;0.0015027753205705586
191;0.1351102248756558;0.1351102248756558;0.8648897751243442;0;1.9547621187891957;0.0014853754614193488
191.5;0.13579268934958363;0.13579268934958363;0.8642073106504163;0;1.9443714479471919;0.0014682149188238753
192;0.13647890331063636;0.13647890331063636;0.8635210966893636;0;1.9340332085207783;0.0014512899761638695
192.5;0.1371688876570276;0.1371688876570276;0.8628311123429724;0;1.9237471836422808;0.0014345969790419497
193;0.13786266339859118;0.13786266339859118;0.8621373366014088;0;1.913513156389781;0.001418132334213072
193.5;0.13856025165746003;0.13856025165746003;0.86143974834254;0;1.9033309098116413;0.0014018925085310205
194;0.13926167366874725;0.13926167366874725;0.8607383263312527;0;1.8932002269504016;0.001385874027911892
194.5;0.13996695078122962;0.13996695078122962;0.8600330492187704;0;1.8831208908660566;0.0013700734763159405
195;0.14067610445803436;0.14067610445803436;0.8593238955419656;0;1.8730926846587261;0.001354487494745378
195.5;0.14138915627732834;0.14138915627732834;0.8586108437226716;0;1.8631153914907348;0.0013391127802590548
196;0.1421061279330103;0.1421061279330103;0.8578938720669897;0;1.8531887946081116;0.0013239460850041213
196.5;0.1428270412354057;0.1428270412354057;0.8571729587645943;0;1.8433126773615207;0.0013089842152631832
197;0.1435519181119643;0.1435519181119643;0.8564480818880357;0;1.8334868232266412;0.0012942240305187226
197.5;0.1442807806079612;0.1442807806079612;0.8557192193920388;0;1.823711015823999;0.0012796624425315344
198;0.1450136508872004;0.1450136508872004;0.8549863491127996;0;1.8139850389382726;0.0012652964144364161
198.5;0.14575055123272107;0.14575055123272107;0.8542494487672789;0;1.804308676537076;0.0012511229598523386
199;0.1464915040475075;0.1464915040475075;0.8535084959524926;0;1.7946817127892325;0.0012371391420080786
199.5;0.14723653185520136;0.14723653185520136;0.8527634681447986;0;1.7851039320825608;0.0012233420728823183
200;0.14798565730081736;0.14798565730081736;0.8520143426991826;0;1.7755751190411606;0.0012097289123591951
200.5;0.14873890315146218;0.14873890315146218;0.8512610968485378;0;1.7660950585422348;0.0011962968673976965
201;0.14949629229705597;0.14949629229705597;0.850503707702944;0;1.7566635357324427;0.0011830431912150938
201.5;0.15025784775105736;0.15025784775105736;0.8497421522489427;0;1.7472803360438;0.0011699651824856043
202;0.1510235926511916;0.1510235926511916;0.8489764073488084;0;1.7379452452091306;0.0011570601845515064
202.5;0.15179355026018201;0.15179355026018201;0.848206449739818;0;1.72865804927709;0.0011443255846483732
203;0.15256774396648412;0.15256774396648412;0.8474322560335159;0;1.7194185346267588;0.0011317588131444073
203.5;0.1533461972850239;0.1533461972850239;0.8466538027149761;0;1.7102264879818245;0.0011193573427912917
204;0.1541289338579384;0.1541289338579384;0.8458710661420616;0;1.7010816964243576;0.0011071186879902672
204.5;0.15491597745532062;0.15491597745532062;0.8450840225446794;0;1.6919839474081866;0.0010950404040686972
205;0.155707351975967;0.155707351975967;0.844292648024033;0;1.6829330287718887;0.001083120086570875
205.5;0.1565030814481284;0.1565030814481284;0.8434969185518716;0;1.673928728751404;0.0010713553705603538
206;0.15730319003026522;0.15730319003026522;0.8426968099697347;0;1.6649708359922695;0.0010597439299349638
206.5;0.1581077020118047;0.1581077020118047;0.8418922979881953;0;1.6560591395615059;0.0010482834767531494
207;0.15891664181390303;0.15891664181390303;0.841083358186097;0;1.6471934289591337;0.0010369717605728018
207.5;0.15973003399020985;0.15973003399020985;0.8402699660097901;0;1.6383734941293577;0.0010258065678012986
208;0.1605479032276372;0.1605479032276372;0.8394520967723628;0;1.6295991254714033;0.001014785721056782
208.5;0.16137027434713128;0.16137027434713128;0.8386297256528688;0;1.6208701138500303;0.0010039070785412408
209;0.16219717230444838;0.16219717230444838;0.8378028276955516;0;1.6121862506057196;0.0009931685334236089
209.5;0.16302862219093409;0.16302862219093409;0.8369713778090659;0;1.6035473275645418;0.000982568013235402
210;0.16386464923430644;0.16386464923430644;0.8361353507656936;0;1.5949531370477241;0.0009721034792749689
210.5;0.1647052787994424;0.1647052787994424;0.8352947212005576;0;1.5864034718809155;0.000961772926023679
